,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
79,m_3709713_se_14_060_20190712,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3709713_se_14_060_20190712.tif,"[11747, 11990, 4]","[-97.44177746671161, 37.81658333737456]","[-97.37015295228879, 37.7464105501187]"
80,m_4810154_nw_14_060_20190714,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4810154_nw_14_060_20190714.tif,"[10600, 11374, 4]","[-101.3806386970796, 48.253122276769]","[-101.30686897652747, 48.18437302255884]"
81,m_4508334_se_17_060_20180911,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4508334_se_17_060_20180911.tif,"[11256, 11964, 4]","[-83.81908427620293, 45.44229200088277]","[-83.74298814064122, 45.3706994232896]"
82,m_4709612_sw_14_060_20190723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4709612_sw_14_060_20190723.tif,"[11269, 12196, 4]","[-96.63198076270409, 47.81709549017377]","[-96.55492303935084, 47.74589529117875]"
83,m_4208411_se_16_060_20180706,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208411_se_16_060_20180706.tif,"[11609, 12132, 4]","[-84.69310258525323, 42.81703634587218]","[-84.61882385087424, 42.7459599672825]"
84,m_4108320_se_17_060_20190825,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108320_se_17_060_20190825.tif,"[11137, 11691, 4]","[-83.56749389377157, 41.69071212205316]","[-83.49509750129941, 41.62174666212416]"
85,m_3608928_ne_16_060_20180802,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3608928_ne_16_060_20180802.tif,"[11690, 12147, 4]","[-89.5674825564208, 36.62908134609347]","[-89.49456616932163, 36.55890847858136]"
86,m_4010405_ne_13_060_20190919,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010405_ne_13_060_20190919.tif,"[10950, 11230, 4]","[-104.44045671317558, 41.002121824814886]","[-104.37198475222698, 40.93535724200019]"
87,m_3411609_ne_11_060_20180818,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3411609_ne_11_060_20180818.tif,"[11063, 11165, 4]","[-116.93920598830633, 34.87645005168736]","[-116.87324992142041, 34.81109659308004]"
88,m_4810204_se_13_060_20190720,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4810204_se_13_060_20190720.tif,"[10858, 11709, 4]","[-102.56835349711997, 48.940721395757606]","[-102.49403448239153, 48.871804284132494]"
89,m_4109739_ne_14_060_20180702,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4109739_ne_14_060_20180702.tif,"[11052, 11463, 4]","[-97.1911101046194, 41.50240251751724]","[-97.12130016464167, 41.435095795593156]"
90,m_4107241_se_18_060_20180810,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107241_se_18_060_20180810.tif,"[11547, 12126, 4]","[-72.9431316770005, 41.31640227357336]","[-72.86930255094803, 41.24609867857116]"
