,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
52,m_4008046_se_17_060_20190825,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008046_se_17_060_20190825.tif,12726,9879,4,558159.3,4463067.3,564086.1000000001,4455432.3,EPSG:26917,-80.3154921110578,40.31610297291173,-80.24650591998453,40.24688869317608
53,m_3210017_nw_14_060_20181113,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3210017_nw_14_060_20181113.tif,12240,10490,4,312342.3,3625493.7,318635.7,3618150.3000000003,EPSG:26914,-101.00307115322329,32.751318615774714,-100.93449830942863,32.68616884210312
54,m_3912118_ne_10_060_20180716,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3912118_ne_10_060_20180716.tif,12190,9590,4,601584.3,4400909.7,607337.7000000001,4393596.3,EPSG:26910,-121.81422013790666,39.75204700273294,-121.74826786730004,39.6854618594574
55,m_3110614_ne_13_060_20190126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110614_ne_13_060_20190126.tif,12170,10500,4,375618.3,3527483.7,381917.7,3520182.3000000003,EPSG:26913,-106.31501743668787,31.876347171019802,-106.2475445414038,31.81116070918051
56,m_3209225_se_15_060_20190903,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209225_se_15_060_20190903.tif,12648,10713,4,505614.89999999997,3603149.1,512042.1,3595560.9,EPSG:26915,-92.94018478624044,32.56574911526188,-92.87181355111842,32.49724449858423
57,m_4007926_sw_17_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007926_sw_17_060_20190918.tif,12772,10046,4,594938.1000000001,4491225.3,600965.1000000001,4483562.7,EPSG:26917,-79.87847829736707,40.566362419375196,-79.8085176276104,40.49663217203228
58,m_3908814_sw_16_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908814_sw_16_060_20190918.tif,12789,10166,4,381902.1,4408206.3,388001.1,4400533.5,EPSG:26916,-88.37980439737407,39.81564238958639,-88.30725563757555,39.74735285840789
59,m_3208163_ne_17_060_20191023,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3208163_ne_17_060_20191023.tif,12230,10520,4,482100.3,3554507.7,488411.7,3547170.3000000003,EPSG:26917,-81.1897658594453,32.12681154044512,-81.12276639217608,32.06069862398598
60,m_3008839_se_16_060_20191115,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3008839_se_16_060_20191115.tif,12310,10790,4,385698.3,3368063.7,392171.7,3360678.3000000003,EPSG:26916,-88.19035166925231,30.43927407813063,-88.12218568987832,30.373238101816913
61,m_3908011_nw_17_060_20180701,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908011_nw_17_060_20180701.tif,12590,9949,4,521078.7,4414230.3,527047.5,4406676.899999999,EPSG:26917,-80.75349904155924,39.87786190620268,-80.68401102076558,39.809637112960885
62,m_4810351_se_13_060_20180815,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4810351_se_13_060_20180815.tif,12220,8460,4,597396.3,5338205.7,602471.7000000001,5330874.3,EPSG:26913,-103.68951901351006,48.18961442167215,-103.62301469158632,48.12287468304985
63,m_4609801_se_14_060_20190702,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4609801_se_14_060_20190702.tif,12260,8610,4,504558.3,5198429.7,509723.7,5191074.3,EPSG:26914,-98.94011024587996,46.93938264812377,-98.87240132476035,46.873136602402795
